shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
čax̌-ǰīc	čax-jic													курятник	čax̌ ar čax̌-ǰic zōd курица снесла яйцо в курятнике	
čax̌m	čaxm,čax	čax̌												глаз	ba čáx̌mi dīdā. . . и в глаза (не)...; čáx̌mi bad дурной глаз; čáx̌mi bīnindā́ mā wīnt! пусть не видят глаза видящие! (т. е. не видеть бы этого глазами)	только в сложениях и сочетаниях, ср. cēm
čax̌mā́	čaxma													ручей, источник, родник, ключ		ж.
čax̌mazṓr	čaxmazor													место, изобилующее водой, ручьями		
čax̌mbā́nd	čaxmband,čaxband	čax̌bā́nd												лицевое покрывало		(= buqrí)
caxmṓx	caxmox													огниво, кресало		
caxmṓx δêdṓw	caxmox δedow													высекать огонь		
caxmṓx-žīr	caxmox-žir													кремень	caxmṓx-žīr kūyḗn-ard lápaθ, wám-ta mudů́m-aθ caxmṓx δêdṓw ǰāt as kūyḗn vā́rēn в горах много кремня, его постоянно приносят из гор для высекания огня	
čāy	čay													кто?	косв. či (в стяж. čê-), дат. čir(d), принадл. čind; čā́y-ga? еще кто? yi čāy кто-нибудь, (с последующ. отрицанием) никто; yí-čāy-ga кто-нибудь другой; tu číyēc lů́vi? о ком ты говоришь? fíkri kinúm didi: či ba-dil kinúm? я думаю: по чьему желанию мне поступить? či xōyíx̌-ti kínum? чье желание мне выполнить? či qī́- wām? кого нам позвать? aǰál ca yōδd, yi-čêθ na pēx̌st смерть придет, никого не спросит; daθ mus- lahát δēn didi, ca waxt xu x̌aǰḗn ziwḗδām, čí-wēv qatī́r ziwḗδām потом совещаются, когда вывести быков, с кем вывести быков; pūl δêdṓw čír-ga rēδǰ? кому еще осталось платить? a-rō, wam xu rizī́n yi-čird δāδ: yā lap γulā́ sic! выдавай, брат, за кого-нибудь свою дочь: она уже взрослая!	
čaynák	čaynak													чайник		м.
čāγʒ	čaγʒ													дуршлаг, цедилка		
čēb	čeb													прикрытие, засада	wúz-um тam žir xurd čēb anǰū́vǰ из этого камня я устроил себе прикрытие; wḗv-en qadī́m δêd ǰāt čēb mīzǰ из них в старину устраивали прикрытие для сражений	
čêd	čed													нож	mu čêd gand sic мой нож затупился; mu čī́d-and-ēn δiyů́n čêd: yīw qarγizí čêd atā yīw xūγ̌nůní y меня дома два ножа: один киргизский, а другой шугнанский	ж.
čêk	ček,čekt,čekt,čekč,čektow			čêkt			čêkt	čêkč			čêktṓw			капать, стекать		
čêků́n	čekun,čekunt			čêků́nt										капать, заставлять капать, выжимать		
cēm	cem													глаз		м.
cēm čīdṓw	cem čidow													сглазить	wind lap čáx̌mi bad, mu vṓrǰ-i cēm čūd xu, yu sut sut у него очень дурной глаз, он сглазил мою лошадь, и она захромала	
cēm-qāt	cem-qat													"с жадными, алчными глазами; „заведущие глаза"""		
cēm-yēnák	cem-yenak													очки		
cēm-γācák	cem-γacak													зрачок		
cēm-γācák	cem-γacak													зрачок		
cēmák	cemak													„глазки“ (игра)	cēmák bêx̌tṓw играть в „глазки“	см. kanák
cēmák	cemak,cemaken											cēmakḗn		мелкие бусы, бисер		
cēmakí	cemaki													подмигивание		
cēmakí δêdów	cemaki δedow													подмигивать		
čēmb	čemb,čemt,čemt,čemč,čemtow			čēmt			čēmt	čēmč			čēmtṓw			соглашаться; хотеть		
cêp	cep,cept,ceptow			cêpt							cêptṓw			щупать, трогать	"wi pid wi kā́l-i cêpt xu lů́d-i: „tu kāl kaš, tu-t nōxúš ""отец потрогал его голову и сказал: „голова у тебя горячая, ты болен"""	
čêr	čer,čert,čert,čerč,čertow			čêrt			čêrt	čêrč			čêrtṓw			пахать		
čêríʒ	čeriʒ													пахота		
čêríʒ čīdṓw	čeriʒ čidow													пахать		
čêriʒgā́r	čeriʒgar													пахарь		
čêw	čew,čewd,čud,čewd,čewj,čewdow			čêwd, čūd			čêwd	čêwǰ			čêwdṓw			чесать		
čêxt	čext,čaxt		čāxt											кривой, искривленный, согнутый, изогнутый	yu wi δṓrg-i čêxt čūd он согнул ту палку; yā bēčōrá kampī́r čāxt та бедная старушка совсем согнута	
ci	ci,cid,ced,ciδj,čidow			cid			cēd	ciδǰ			čidṓw			жать (косить)		
či	či													предлог, выражающий направление, стремление, намерение	"či dām на спину, навзничь; či γêv вверх дном (о кувшине); či parrā́ на бок, боком (о каменной плите); či dām xu čīdṓw лечь на спину; či pālí xu čīdṓw лечь на бок; či nōxū́n xu čīdṓw встать на цыпочки, подняться на носках; asī́d pi Гund γ̌iník či x̌ac xu čūd в этом году в Гунте утопилась женщина; xīr či zůn „солнце на колено"" (название праздника); žīr či žīr камень на камне (навал камней); θīr či θīr беспорядочная куча золы; wuz-um či tīd я сейчас ухожу; mā́š-ām xurṓk či xīd мы собираемся есть; wúz-um či zi- bīd(ṓw) я сейчас буду прыгать; yu či x̌êvd он собирается спать; či lůvd sut xu, na lů́vd-i (он) собрался сказать, но не сказал; as maγ̌ʒůnǰgí-yēn či mīd умирают с голоду"	
či-gāz	či-gaz													ткань, материя (куском)		
cī-x̌ōǰ	ci-xoj													горькие абрикосовые зернышки		
čib	čib													ложка		ж.
čibák	čibak													ложка, ложечка		
čibů́d	čibud													голубь		
cīcā́k	cicak													дикое несъедобное растение, плоды которого похожи на виноград (употребляется для окраски в черный цвет)		
cicú	cicu													удар		
čīd	čid,čaden											čadḗn		дом		м.
čīdbů́n	čidbun													охранитель дома, караульщик дома		
čīdbůní	čidbuni													охрана, окарауливание дома		
čīdbůní čīdṓw	čidbuni čidow													сторожить, караулить дом		
čīddṓr	čiddor,čidor	čīdṓr												домовладелец, домохозяин		
čīdičák	čidičak													игрушечный домик		
čidī́r	čidir													сажа		
čidī́r δêd	čidir δed													первый день нового года („уборка сажи“)		
čidů́m	čidum													какой, который	čidů́m-and žindám garδā́-t, čidů́m-and max̌ín-at, čidů́m-and kilêx̌cák у кого пшеничный хлеб, у кого из гороха, а у кого — просяная лепешка	
čidγī́nc	čidγinc													крапива		ж.
cif	cif,cift,cift,cifč,ciftow			cift			cift	cifč			ciftṓw			красть, воровать		
čīf	čif													остающиеся на току после молотьбы стебли с невымолоченными зернами (они собираются и обмолачиваются вручную)		
čiǰṓrč	čijorč													грибы, употребляемые в пищу		
čil	čil													сорок		
čilāp	čilap,čilapt,čilapt,čilapč,čilaptow			čilāpt			čilāpt	čilā́pč			čilāptṓw			хлюпать, шлепать по грязи		
čīlapák	čilapak													прибой, плескание волн, волнение воды, прилив, отлив	aryōyḗn-ēn ik-dů́nd lap andī́c didi, čilapák pi mu bōγ δīd вода так поднялась в реках, что прибой подступает к моему саду; δṓrg-um lāk čūd daryṓ lāv tīr xu, čilapák wi yṓd-i я оставил бревно на берегу, и его унесло волнами	м.
čilbếsk	čilbesk													ящерица		ж.
čilgí	čilgi													род груши		
čilím	čilim													кальян; курение табака		
cīlī́γ-at-pīlī́γ	ciliγ-at-piliγ													разноголосица, шум (животных)		
čillā́	čilla,čila	čilā́												перстень, кольцо		
čillā́	čilla													сорокодневие	čillā́yi zimistů́n-and-um as pů́nd-ti čillā́ vūd в зимнее сорокодневие я нашел на дороге кольцо	
cilúq	ciluq,ciluq,culuq,cilaq	cilů́q, culúq	ciláq											прямой, торчащий, отвесный, вертикальный	x̌āb x̌ếδ-ti yi ōdám x̌êδbů́n nếδēn yik-důn-ǰāt didi awáli yattṓw na wzů́nēn yḗl-ti bōb cilúq-γuγ̌ yást-ō nist: yḗl-ti wūrǰ lůvdṓw rasm nist ночью в загоне сажают одного человека караулить, потому что, как придем, мы еще не знаем, есть или нет на летовье дед с торчащими ушами: на летовье не принято произносить имя волка; cilúq-culúq zibidṓw прыгнуть, устремиться прямо вверх; wi sếx-ēn δōδǰ yámand cilúq они там поставили шест (торчком)	(= cuq, cůq, ж. caq)
ciluqqást	ciluqqast,culuqqast,culuqast,ciluqast,cilaqqast,cilaqast	culuqqást, culuqást, ciluqást	cilaqqást, cilaqást											стремительно, порывисто	as xu ǰōy tīr ciluqást аndū́yd xu, yat tar mu xēz он стремительно поднялся со своего места и подошел ко мне; yā γac cilaqqást as xu ǰṓy-tīr andṓyd девушка стремительно поднялась со своего места	
čilyák	čilyak													кора		
cimū́d	cimud,cimu,cumud,cumu	cimū́, cumū́d,cumū́												большая корзина		
cīn	cin													мелкая поросль, тальник		
čīn	čin													труднопроходимое место в горах		
Čīn	Čin													Китай		
čīní	čini													фарфоровая чашка		
cīp	cip,cip-cip,cipast	cīp-cīp, cīpást												скрип, писк, слабый звук	čax̌-bucḗn cīp-cīp kinḗn цыплята пищат; tu pếx-um důnd xax̌ ancū́vǰ didi, cīpást na kix̌t я так крепко сшил тебе сапоги, что не скрипнут	
čipč-at-bůnǰ	čipč-at-bunj													набор для подведения глаз		
čipṓs rūγán	čipos ruγan													хлопковое масло		
čiqír	čiqir													косой, косоглазый		
čiqúr	čiqur													углубленный, ямистый, овражистый; углубление, впадина, яма	wam mu zímc-i x̌ac fúka θ čiqúr čūγ̌ǰ вода по всему моему полю намыла ямы и впадины	
čiqurí	čiquri													глубокое место, углубление, впадина, яма, овраг	mu vōrǰ δōδǰ ar čiqurí xu, qásti mū́γ̌-ǰat моя лошадь свалилась в яму и едва не погибла	
čīr	čir													что? 	yu táram čīr sut? что там с ним случилось? čīr čīdṓw (только в вопросительных предложениях) делать arrā́ qatí čī́r-ēn? что делают пилой? čāy čīr kix̌t? кто что делает? čīr kiní? что ты делаешь? tu čī́r-i yů́dard? что ты здесь делаешь?	
ciráfc	cirafc,ciruvd,cirovd,cirovd,cirafst,ciruvj,cirivʒ,cirivdow			cirū́vd	cirṓvd	cirṓvd	ciráfst	cirū́vǰ	cirī́vʒ		cirīvdṓw			жечь, саднить		
cirák	cirak,cirakt			cirákt										моросить		
čīrák	čirak													икота		
čīrák čīdṓw	čirak čidow													икать		
čiráx-čiráx	čirax-čirax													щелканье, звук ружейного затвора	wi can čiráx-čiráx x̌int слышит щелканье затвора его ружья	
ciraxák	ciraxak													искра		м.
čirc	čirc													графит		
čirífc	čirifc													дикорастущий зеленый цветок с сильным запахом	"ar Xaráγ yi ǰōy čirífc yámard lap růy δēd xu, ik-dí ǰā́t-ēn wi ǰōy nům Čirifczṓr čūγ̌ǰ в одном месте в Хороге растет очень много цветов „čirifc"", поэтому это место прозвали Чирифцзор"	
čirīqást	čiriqast													чириканье; сердитый возглас	yā wiðíč čirīqást kix̌t воробей зачирикал; mā́š-am as wi nēkí tilā́pt, ā wind čirīqást sut мы ждали от него хорошего, а он (на нас) огрызнулся	
čirīzák	čirizak													часть жилища направо от входа (кладовая)		
čirk	čirk													грязь; гной	as wi zaxmí δúst-and čirk tizd y него из раны на руке выделяется гной	
čirkí	čirki													грязь	az dásti tu čirkí xurṓk murd na fōrt из-за твоей грязи y меня даже аппетита нет	
čirkín	čirkin													грязный		
čīrm	čirm													червяк		
cirṓw	cirow													светильник, светец, лучина для освещения	cirṓw čīdṓw подготовлять светильник, лучину для освещения	ж.
cirōwḗǰ	cirowej													дикорастущая трава, из семян которой приготовляется масса для обмазывания свечей		
čirōγdů́n	čiroγdun													светильник		
cirra-cirr čīdṓw	cirra-cirr čidow													стрекотать	cirra-círr-ta vazíč-aθ kix̌t стрекочет кузнечик	
čirů́γ̌ǰ	čiruγ̌j													мочало, получаемая из высокого зонтичного растения		
čis	čis,čuxt,čost,čuxč,čixtow			čūx̌t			čōst	čux̌č			čix̌tṓw			смотреть, глядеть, присматривать; блюсти, беречь; зависеть	mam mu kitṓb čis, yi yōr mam mā zêzd последи, чтобы никто не брал моей книги; wuz ik-mi kṓr-and pi tu čísum в этом отношении я завишу от тебя; falůní xúbaθ wistṓδ nist atā, wi pālí-ndir yí-ga wistṓδ, yu tar wi čṓst-at kōr kix̌t он сам не мастер, но рядом с ним мастер, он смотрит на него (подражает ему, мастеру) и работает; tu mi murd čis! сохрани (сбереги) это для меня!	
čistů́n	čistun,častun	častů́n												загадка		
čit	čit													ситец		
civī́nc	civinc													овод, слепень; оса, пчела		ж.
cīw	ciw													волос (отдельный)		м.
cīwín	ciwin													волосатый, с волосами		
cix̌	cix,cux,cox	cux̌, cōx̌												растрепанный, взъерошенный, лохматый, косматый	di γiδā́ γūnǰ cix̌ suδǰ y этого мальчика взъерошенные волосы; mu namád digá cōx̌ sut моя кошма растрепалась; mu vōrǰ mūy cūx̌ suδǰ y моей лошади шерсть косматая	
cīx̌	cix,cax	cāx̌												горький		
čix	čix													прочь! пошла! (окрик на собаку)	a kud, čix (vaǰ)! пошла (вон), собака!	
čixī́ǰ	čixij													червяк		(=čīrm)
čīz	čiz													вещь, предмет, нечто, что-нибудь	что? почему? číz-rad? čī́z-ard? почему, зачем, для чего? čī́z- ǰāt didi. . . потому что..., для того чтобы. . .; čīz-lů́vi? что ты говоришь?	
čīzdṓr	čizdor													имущий, зажиточный		
čiγuγ̌ǰák	čiγuγ̌jak,čiγuzjak	čiγuzǰák												дикое растение со съедобным корнем		
cī́γ̌ʒ-at-pilī́γ̌ʒ	ciγ̌ʒ-at-piliγ̌ʒ													детвора, мелкота, детишки	"lápaθ ʒul-ʒulík bačgalā́ ar čīd ca vēd, lů́vēn: „a-rō, yu yik-důnd cī́γ̌ʒ-at pilī́γ̌ʒ-dōr didi!"" если в доме много маленьких ребятишек, то тогда говорят: „сколько у него мелкоты!"""	
čō	čo													колодец, яма	ar čo čīdṓw кладет в ямы	м.
čōdár	čodar													саван, покрывало, платок, попона		
čōk	čok													кирка, мотыга		ж.
čōp	čop													печатание, печать		
čōp čīdṓw	čop čidow													печатать		
čōp-kunī́ǰ	čop-kunij													машинистка		
čōp-xůnā́	čop-xuna													печатня, типография		
čōq	čoq													дыра, щель, трещина		
čōq	čoq													здоровый, полный, цветущий; довольный, радостный	sā́wēn wi nêʒḗn lapdí čōq они начинают себя все лучше чувствовать	
čōqū́n	čoqun,čoqu	čōqū́												складной, перочинный нож	xu čōqū́n murd dāk, wuz xu nōxū́n zếzum дай мне свой перочинный нож, я обрежу себе ногти	
čōr	čor													муж, супруг; мужчина; человек	"xīr pi čōr „солнце на человеке"" (название праздника зимнего солнцестояния)"	
čōr	čor													четыре (только в заимствованиях)		
čōr δêdṓw	čor δedow													выдать замуж	mu yaxík-ēn čōr δōd мою сестренку выдали замуж	
čōr-angúx̌t	čor-anguxt													мера длины, четверть (от большого до безымянного пальца)		
čōr-čingṓl čīdṓw	čor-čingol čidow													ползать (на четвереньках)	mu puc čōr-čingṓl čīdṓw vā́r-dēd atā́ půnd tīdṓw γal na vā́r-δēd мой сын ползает, но еще не умеет ходить	
čōr-tirṓx̌	čor-tirox													четырехгранный (брус)	čōr-tirṓx̌ čīdṓw обтесывать с четырех сторон	
čōr-xůnā́	čor-xuna													рама потолочного отверстия	центральная часть потолка, ограниченная четырьмя взаимно перпендикулярными балками	
čōrā́	čora,čoro	čōrṓ												средство, способ	čōrā́-gā-m na vūd xu bā́d-um ar bōγ zibúd я не нашел другого выхода и выпрыгнул в сад	
čṓra čīx̌tṓw	čora čixtow													помогать	di kṓr-ard čōrā́ čis! постарайся помочь в этом деле	
čōrbargā́	čorbarga													четырехлистник (название травы)		
čōrbṓγ	čorboγ													сад, большой сад, парк		
čōrdā́	čorda													четырнадцать	čōrda-sōlā́ четырнадцатилетний	
čōrdást	čordast													вскачь; карьер, галоп	daráw čōrdást sůd сразу понесется вскачь	
čōrík	čorik													мужчина, мужик	ā čōrík! ê čōrík! муженек! (обращение к мужу)	
čōrpṓ	čorpo													животное, четвероногое		
čōrpōyā́	čorpoya													кровать, стол		
čōršambí	čoršambi,čoršanbi	čōršanbí												среда (день недели)		
čōryák	čoryak													четверть, четверка		
čōryōrí	čoryori													суннит	yu čōryōrí yō panǰtaní? он суннит или шиит?	
cōw	cow													жатва		
cōw čīdṓw	cow čidow													жать		
cōwgā́r	cowgar													жнец, жница		
čōx̌dů́n	čoxdun													коробка, картонка		ж.
cōx̌t	coxt,cox	cōx̌												хлеб и мясо, приносимое в дом умершего его соседями и родственниками в течение трех дней, по утрам (все приносимое складывается в общий котел и потом предлагается всем пришедшим)		
čōx̌t	čoxt													носилки для переноски снопов	čōx̌(t)-wīz груз снопов на носилках	ж.
čōy	čoy													чай		ж.
čōyǰū́x̌	čoyjux													кумган, чайник, медный кувшин для варки чая		
cōγ̌ʒ	coγ̌ʒ													шило	mu cōγ̌ʒ gand sic мое шило затупилось	(ср. sandāl-dū́z, sugli-dū́z)
čūb	čub													дерево (материал)		
čūb-tirṓx̌	čub-tirox													плотник		
čuk	čuk,čukt			čukt										топать; шлепать; ударять, бить		
čůk	čuk													высокий, прямой, торчащий	ik-ám diráxt čů́ka θ andī́c это дерево выросло совсем прямо; čī́z-at yḗdand čůk sut xu rḗdat! что ты встал здесь торчком!	
čūk	čuk													птица, похожая на сову		
čuk δêdṓw	čuk δedow													валиться, обваливаться, рушиться, ломаться	mu maalā́ čuk δōd xu ōdamḗn-i anǰū́vd мой дом обвалился и придавил людей; mu dām čuk δōd у меня сломана спина	 (δi)
čukrí	čukri													дикое горное растение		
čūl	čul													пустыня, безлюдье		
čůmč tīr čīdṓw	čumč tir čidow													взять на плечи, на спину (ребенка)	di kūdák ̌γiδā́ xu čůmč tīr kin yid lap mōt suδǰ возьми этого маленького мальчика к себе на плечи, он очень устал	
čůn	čun													клянусь!	xu pacḗn čůn, mund yōγ̌ǰ nist! клянусь своими сыновьями, y меня нет муки! xu pīr čůn! клянусь (духовным наставником) пиром! xuδṓy čůn! клянусь богом!	
čūn	čun													глухой (о человеке)		
cůnd	cund													сколько	cůn(d)-rūzí kṓr-ta kinḗt? по сколько дней вы работаете? a-rō, wi xu vṓrǰ-at cůndík parδṓd? за сколько ты продал ту свою лошадь?	
čung	čung,čang		čang											согнувшийся, согнутый, сгорбленный	yu mūy-safḗd čung-čung yat (yā kampīr čang-čang yat) тот старик подошел (та старуха подошла), совсем сгорбившись	
čungák	čungak													багор		
čungák wēδdṓw	čungak weδdow													багрить, работать багром		
čup-siyṓ	čup-siyo,sup-siyo	sup-siyṓ												черный-пречерный, очень черный	qamčí-yēc mu δōd, daδ wam qamčí ǰōy mu dām tīr čup-siyṓ suδǰ он ударил меня плетью, и потом место удара на моей спине сделалось черное-пречерное	
čupák	čupak													ястреб-самец		
čūpů́n	čupun													пастух		
čūpůní	čupuni													пастушество, профессия пастуха	čūpůní čīdṓw быть пастухом	
cuq	cuq,cuq,caq	cůq	caq											торчащий, прямой, вертикальный, отвесный	wi x̌īǰ xōx̌ḗn cuq-cuq ( || cuq-cuq) y того быка совершенно прямые рога; yā nu(h)ṓl caq это деревцо прямое; ik-am kū cůq это отвесная гора; уат δōrg cuq это прямая палка	ср. ciluq
cuq-wīz	cuq-wiz													вертикальный, отвесный вьюк, располагаемый вдоль спины носильщика		в противоположность barōbár-wīz
čūrδ	čurδ													кривой		
čūrδí	čurδi													кривизна		
čuš	čuš													тише! стоп! (приказание остановиться ослу)		
čūšǰ	čušj													ячмень		м.
čust	čust													крепко, прочно		
čust čīdṓw	čust čidow													укрепить, закрепить	yi-lā́v-and wēv nêʒḗn čust sēn xu, wāδ daδ naswṓr pi xu nêʒḗn fúsēn xu, x̌ap-x̌ap pirsák δēn y некоторых иногда закладывает нос, они тогда вбирают в нос жевательный табак и тотчас начинают чихать	
čūvgā́z	čuvgaz													пол-охвата, половина размаха обеих рук, расстояние от середины груди до конца вытянутых пальцев; мера длины, несколько меньшая одного метра 		(=1/2 qilṓč = 4 wulčák)
čux̌	čux													петух		
čux̌	čux,ču	čū												н-но! пошел! (понукание лошадей)	a vōrǰ, čux̌! (a vōrǰ, čū!) пошла, лошадь!	
čūyán	čuyan													чугун		
cuγ	cuγ													разрыв, разрывание		
čūγ̌	čuγ̌,čaγ̌ 		čāγ̌ 											пестрый		
cuγ sittṓw	cuγ sittow													порваться, разорваться		
cuγ δêdṓw	cuγ δedow													разорвать, порвать, рвать	wúz-um qōγáz cuγ δōd xu, bā́d-um pitếwd я порвал бумаги, а потом выбросил	
čūγ̌ δêdṓw	čuγ̌ δedow													опережать других в жатве	čūγ̌ δêdák соревнование в быстроте жатвы; Māmad-Nazár fúkaθ-ard-i čūγ̌ δōd xu, sut nūst Мамад-Назар всех опередил (сжав свою часть раньше других), пошел и уселся; уат čūγ̌ δêdák-ard lōyíq vuδǰ этот оказался подходящим для соревнования в быстроте жатвы	(δāδ)
čūγ̌ḗʒ	čuγ̌eʒ,čaγ̌eʒ		čāγ̌ḗʒ											пестрота, пятнистость	čūγ̌ḗʒ, čaγ̌ēʒ čīdṓw пестреть; čāγ̌ žōwḗn-ēn ar wam dāx̌t xub lap ay čūγ̌ǰ xu, yā dāx̌t čaγ̌ēʒ kix̌t в ту степь нагнали пестрых коров, и теперь вся степь пестреет	
čūγ̌í	čuγ̌i													пестрота, пятнистость	wáxti buṓr-and-ta ži-níǰ ōb sůd, yů́d-at yámard-ga žiníǰ ca rist, ik-wí-ta čūγ̌ í lů́vēn весной снег тает, но остается еще там и сям, вот это и называют „čūγ̌í“	(ср. čūγ̌ếʒ)
cūδm	cuδm													дикое кустарниковое растение вроде терескена, употребляемое как топливо	cū́δm-ta kinúm xu pi-dām навьючу себе на спину „cū́ðm“	
dā	da													десять (в сочетаниях)	wird albát sad-u dā sōl súδǰat ca mūd должно быть, прошло сто десять лет, как он умер	
dabál	dabal													нападение		
dabál čīdṓw	dabal čidow													нападать		
ðāð	ðað,ðod,ðid,ðoðj,ðedow			ðōd			ðīd	ðōðǰ			ðêdṓw			давать; ударять (по чему-либо); бросать; помещать; работать при помощи чего-либо, при водить в движение (об орудиях)	наст. 1 ед. ðā́ðum, сокр. ðā́m; 2 мн. ðā́ðēt, сокр. ðēt; 3 мн. ðā́ðēn, сокр. ðēn; пов. ðāð, сокр. ða, ðā	
dāf	daf													бубен	dāf dêdṓw бить в бубен	ж.
dafdár	dafdar													тетрадь		ж.
dahanā́	dahana,daana	daanā́												удила, мундштук (конской упряжи)		
ðak	ðak,ðikt,ðakt,ðokt,ðikč,ðiktow			ðikt			ðakt, ðōkt	ðikč			ðiktṓw			лизать		
dāk čīdṓw	dak čidow,da čidow,dak-i čud,dak ču-yi,da ču-yi,da kixt	dā čīdṓw		dāk-i čūd, dā ču-yi, dā ču-yi			dā kix̌t							давать	в наст. вр. имеет стяженные формы (за исключением 3 ед.); dā́kum даю, dāk дай, dā́ki даешь, dā́kām даем, dā́kēt даете, dākēn дают	
ðakī́ǰ	ðakij													лизун, лижущий	šarðī́ʒ-ðakī́ǰ подхалим, подлиза („лижущий зад“)	
ðakīǰák	ðakijak													указательный (“лизательный“) палец		(angíx̌t)
ðakīǰák	ðakijak													клещ	ðakiǰák ōdám tīr yō sitů́r tīr xu xáx̌-i čūd, xūn sipṓft он к человеку или к скоту присасывается и сосет кровь	
dakṓ	dako													пока, временно	Qurbůnšṓ ar xu čīd tūyd atā́, tu wi ǰōy tīr dakṓ kōr kin! Курбон-шо поехал домой, вместо него пока поработай ты! dakṓ-dakṓ постепенно, понемногу; māš kaxōyḗn dakṓ-dakṓ tar maǰlís sēn наши женщины понемногу начинают участвовать в собраниях	
dakůnák	dakunak,dakun	dakůn												скамья, скамейка		
dal	dal													желание, усмотрение, настроение	"falůní as mú-yi pēx̌ct: „kōr kínām yō nay?“ — wúz-um lůd: „tu dal vid“ такой-то спрашивает меня: „будем работать или нет?“ — я сказал: „как ты хочешь"""	
dalī́l	dalil													возможность	tů́nēc dalī́l ca vēd пока есть возможность; a-rṓ, wi qati dalī́l nist c ним совершенно невозможно; dalī́l čīdṓw предполагать, считать вероятным; wuz dalī́l kinúm didi, falůní tar xu ǰōy я думаю, что он у себя	
dalīlák	dalilak													свечи, зажигаемые во время поминания усопших (конец лучины обматывается ватой и пропитывается маслом)		
dālī́ʒ	daliʒ													сени	вестибюль, галерея	ж.
dalyā́	dalya													похлебка из пшеницы, грубо измельченной на ручной мельнице		
dām	dam													дыхание, дуновение	xu dām zíwêstṓw дышать	
dām	dam													мех (кузнечный)	xu bu-čā́k půst xurd dām kinúm из шкуры своего козленка сделаю мех (кузнечный)	
dām	dam													спина	wuz či dām xu kinúm я ложусь на спину; ik-id kōr māš dā́m-ti δōd эта работа легла на наши плечи	
dām	dam,damt,damt,damč,damtow			dāmt			dāmt	dāmč			dāmtṓw			раздувать огонь		
dām čīdṓw	dam čidow													заваривать (чай); распарить; дать упреть (о каше)	dam čōy dām kin завари этот чай	
dām tīr	dam tir													вслед за, за	wuz wi sawṓr dām tīr sām я отправлюсь вслед за тем всадником	
dā́m tīr nīstṓw	dam tir nistow													следить, выслеживать	wi duzd dām tīr ní θēt последите за тем вором	
dām δêdṓw	dam δedow													говорить, нарушать молчание	digá-yi dām па δṓd не проронил больше ни звука; tar yi-čê-θ xu dām na δām никому не скажу	
dām δêdṓw	dam δedow													дать отдохнуть	xu dām δêdṓw отдыхать; ya, pizū-rík dām xu δā́δām давай отдохнем немножко	
dām-fōγ̌ák	dam-foγ̌ak													зевота	dām-fōγ̌ák čīdṓw зевать; ōdám уi x̌āb ca na x̌êfct wí-ta dām-fōγ̌ák anǰī́vd если человек не поспит ночь, то его берет зевота	
dām-fōγ̌ák	dam-foγ̌ak													зевота, зевок		
dām-xōrák	dam-xorak													скребница		
dāmíʒ	damiʒ													раздувание огня	dāmíʒ čīdṓw раздувать огонь	
damyā́	damya													вода, над которой прочтена молитва и совершено дуновение (употреблялась для лечения)		
dandů́n-xōrák	dandun-xorak													зубочистка		
dáppaθ	dappaθ													внезапно, вдруг	yu půstī́n dáppaθ wêx̌t шуба вдруг упала	
daq δêdṓw	daq δedow													бродить, странствовать, шляться, болтаться, шататься	tu ku čīz ik-důnd daq δā́ði? что ты так зря шатаешься?	
dar	dar													предлог, обозначающий нахождение в чем-либо		(употребляется, главным образом, в заимствов. сочетаниях)
ðar	ðar													далекий, удаленный	ðar ðêdṓw (ði) очутиться вдали, попасть вдаль; ðar čīdṓw удалять, убирать, прогонять (=ay čīdṓw); dēv tōθčḗn ðárēt! уберите эти блюда!	
dar aqêqát	dar aqeqat													на самом деле, по правде		
dar áqi	dar aqi													из-за, по причине	yā γac dar áqi mu diga mīγ̌ʒ та девчонка совсем умирает из-за меня	
dar áslaθ	dar aslaθ													на самом деле, в сущности, по-настоящему	dar áslaθ yu mu vōrǰ на самом деле, это моя лошадь	
dar bōbáti	dar bobati													относительно, в отношении		
dar bōbáti	dar bobati													относительно, о		
dar-awṓ	dar-awo													на воздух, в воздух (в сложениях)	dar-awṓ čīdṓw поднять вверх, в воздух; dar-awṓ sittṓw взлететь вверх, в воздух; wi qōγáz-i x̌ūʒ as mu pirṓ-ndīr dar-awṓ čūd его бумаги у меня вырвало ветром и унесло; wí-yēn dar-awṓ čūd его вздернули на воздух (повесили на виселице)	
dar-ba-dar	dar-ba-dar													бродяга, скиталец		
dar-ba-dár	dar-ba-dar													бродяга		
dar-balṓ	dar-balo													в беду, в беде	dar-balṓ δêdṓw (δi) попасть в беду	
dar-bar tīždṓw	dar-bar tiždow													обнимать	yā γ̌inik as kaltā́-yi dar-bar tīžd женщина обняла своего возлюбленного; mu vōrǰ yēt sut xu, vêrʒḗn-i dar-bar tīžd мой конь вырвался и бросился на кобыл	
dar-bastā́	dar-basta													что за напасть! полное разорение!	tamá dar-bastā́, mōl fúkaθ žindám-i xūd вот напасть! скот поел всю пшеницу!	
dar-bōráyi	dar-borayi													относительно, в отношении, о, про		
dar-dam tīždṓw	dar-dam tiždow													гнаться, догонять	wi γ̌iδā́-m yi lāv dar-dam tīžd, wi daryṓv čī́d-um na vā́r-δōd я было погнался за ним, но не смог его догнать	
