rus	shughni	bajuv	shakhdari	barvaz	gender	comment	collocation_rus
отлучать	райсен: райсент, зинда-jидо ч. (кин)						
отлучение	зẙɣ				м		
отлучка	зинда-jидоги				м		
отлынивание	коргурези				м		
отмалчиваться	тарайӯн ху йêдоw (йос)						
отмель	сангов				м		
отмененный	маw/нqӯф						
отменный	сар(ра)-карðā						
отменять	ман/wqӯф ч. (мāн) ч. (кин)						
отместка	сазо, jазо				м		
отметать солому от зерна	рӯфч						
отметка	буо, бао				м		
отмечать	wеð: wеðд, озири ч. (кин)						
отмщение	qисӯр						
отмывать	фирêw: фирêwд, фируд						
отмываться	фирāw:фируд						
отнекивание	нā-нӯ						
отнекиваться	нā-нӯ ч. (кин)						
отнимающийся	парjавӣj(ак)						
относительно	бобат, азбобати, jи(h)ат						
отнюдь	бêхи						
отогнать	пӣð кантā нист						
отодвигать	фарсêп:фарсêпт						
отодвигаться	тар пāли ху ч. (кин)						
оторванность	чāчи				м		
оторванный	тук-тук-ак						
оторвать	тук-тук(ак) ч. (кин)						
отороваться	тук-тукак с. (сāw)						
отпирать	wиx̌и:wиx̌ид						
отправляющийся	раwẙн						
отпускающий	сāр-ðāðӣj						
отрава	ало(h)ал, зāри алоал				м		
отрада	роат, ра(h)от				м		
отражаться	кирӣ ч. (кин)						
отражение	āкс, акс/ц, сӯрат				м		
отрезание	ду-бур						
отрезать	x̌ичанд: x̌ичуx̌т, ду-бур ч. (кин)						
отрезвлять	wухйор ч.						
отрезками	кāнд-пи-кāнд						
отрекающийся	безор						
отрицание	нā-нẙ, инкор						
отрицающий	(таq) мӯнкир, таq						
отрывистый	цурθ-цурθ, цирраст, чираqаст						
отрывками	кāнд-пи-кāнд, кутпи-кут, цут-пи-цут						
отрывками	кāнд-пи-кāнд, кут-пи-кут, цут-пи-цут						
отрывочно	кāнд-чи-пāр						
отрывочный	кāнд-чи-пāр, цуqпи-цуq						
отрыжка	qирӣпак м, брẙqак, цӣx̌-тухнā						
отряд	лиx̌кар м, фаwj				м		
отряхивание	шиqараст						
отряхивать	фираx̌мак ч.						
отсвет	пул-пул м, пал-пал м/ж						
отсвечивание	x̌ипухаст						
отсекать	x̌ичанд:x̌ичуx̌т						
отсечение	кāл-зêx̌т						
отсечение головы	кāл-x̌ичиx̌т						
отскакивать	зибан:зибуд						
отсрочка	мêл(ат)				м		
отстраненный	зиwосчин						
отстранять	ðар ч. (кин)						
отсутствие	нести						
отсылать	боз:боx̌т						
отсыпать	тис ч. (кин), гарðен: гарðент						
отсыпаться	тӣзм ч. (кин)						
отсюда	(к-)азẙд						
отталкивающий	бе-мêр						
оттачивание	тез-чйд						
оттачивать	тез ч. (кин), сêw: сêwт						
оттуда	(к-)азам, азаманд(ӣр)						
отупевший	калбут; гунд						
отхаркиваться	ах ч. (кин)						
отходы	сӣфчāки, лос				м		
отцовство	пиддори				м		
отчаиваться	номеð с. (сāw)						
отчаянно	wӯрjwор					(перен. )	
отчаянный	бе-x̌оj, зāракаф, бе-хӯн						
отчет	исобот, итло				м		
отчислять	хориj ч. (кин)						
отчитываться	исобат ð., итло ð. (ðāð)						
отчужденность	бегẙнаги				м		
отшельник	гӯx̌а-ниx̌ӣн, хилwат-ниx̌ӣн						
отщепенец	рад(ди) мāракā						
отъезд	раwораwи				м		
отягощать	wазмини ч. (кин)						
отягощение	wазмини				м		
оуча	гуч						
охват	qāп						
охи	фӣx̌дирам					звукоп.	
охладевший	шитто						
охлаждать	шитто с. (сāw)						
охлаждение	ханук, шито						
охотиться	ɣ̌еw (сайд) ч. (кин)						
охотник	ɣ̌еwдоj, ɣ̌еwгāр, сайод						
охраняемый	поцаки						
охраняющий	jарчи, чӣдбẙни, qабар-бẙн						
охрип	аwоз -вӯсч						
оценка	ба(h)о				м		
оценщик	ба(h)о-wеðӣj, буонêðӣj						
оцепеневший	фоwā, калбут, собит, мустар						
очаровывать	сêр ч. (кин)						
очевидец	шойид						
очевидно	гуммẙн, баɣер, x̌о						
очевидный	уwайдо						
очередник	на воду вêʒдор						
очередной	нẙбатчи						
очередность	кирйо м, вêʒ						
очищение	пок-чӣд						
очищенный	пок, тироx̌-ðоðjин, бе-пẙст(аθ), тозā чӯɣ̌jин						
очки	цемак, зӣрjбẙн						
очумевший	пакар						
ошеломленный	ойи-айрẙн, фоwā кунгур						
ошибающийся	гумро						
ошибочно	хаттоги, ɣалат						
ощетиниваться	циx̌ с. (сāw)						
ощетинившийся	циx̌						
ощипывание	рут						
ощипывать	рут ч. (кин)						
ощупь	цêп: цêпт, θêп; θêпт						
ощушать	ис ч. (кин)						
ощущение	ист, йис, хануки, тāм						
оягнившийся	цӣг(биц)						
пава	тоwӯс						
павлин	(пар)тоwӯс				ж		
паводок	обхези				м		
падаль	арẙманд						
падеж	мол(айwẙн) муро-мури,						
падчерица	ризӣнеʒ				ж		
паек	туx̌ā				м		
пайка	кафx̌ел/р(-чӣд)				м		
пакость	гандаги/гари				м		
палас	палêс, пилêс				ж		
палатка	хирго, хаймā				м		
палаты	сарой				м/ж		
палач	одамкуx̌, jаллод						
палец	ангиx̌т ж	ингаx̌т					
палица	гурз				м		
паломничество	зийорат				м		
пальба	тӣрпарẙни				м		
пальцы	панjā, ангиx̌тен, ингиx̌тен						
пальчик	ангиx̌так, ингиx̌так						
палящий	тафсẙн						
памирский	помери						~дом помери чӣд
памятка	йоддоx̌т, бẙй				м		
памятник	айкал, бут				м		
панегирик	маддо				ж		
панегирист	маддогӯй						
папа	тāт(ик), пид(ик)				ж		
папироса	чилим				ж		
параграф	моддā				ж		
паразит	муфт(а)хур, мẙраx̌ин						
паразитизм	муфт(а)хури				м		
паразиты	(к/чӣрм-ат)канā						
параллельный	jӯр						
паранжа	фаранjи, буqри				м		
парение	ови						
парень	бача-мард				м		
пари (спорт)	шарт						
парикмахер	сартироx̌, сартарош						
парить	ови ч. (кин)						
париться	пис: пêхт, пиðис: пиðид						
парк	чорбоɣ				м/ж		
парный	jӯр, jуфт						
пародировать	шойири ч. (кин)						
партийный	фирqаwи						
партия	фирqā, пāртийа				ж		
партнер	шарӣк, пӣнā						
паршивенький	шаккиjин, олак						
паршивец	кӯрирāнг						
пасмурная	погода шӣна						
пасмурно	борẙнадах, кишин, шӣнадах, кẙрɣуп						
пасссивный	дил-мурðā, мурðадах						
пастбище	чарого, йелгā				м		
пастушество	чӯпẙни, подабẙни				м		
пасть	ɣêв ж, кẙм м						
пасынок	пуцеj				м		
патриот	wатандӯст						
патриотизм	wатандӯсти				м		
паук	тāнӣjак ж, ɣӣнцак м						
паутина	ɣӣнцак				м/ж		
пахарь	чêрӣj, чêриʒгар, хаx̌ча-зêзӣj						
пахота	чêриʒ				м		
пачка	wêбак				м		
пачками	хилwор-хилwор						
пачкаться	хеð(ин), wалад// ифлос с. (сāw)						
пашня	x̌идйор				м		
паяльник	кафx̌ел-кинӣj, лиx̌одур						
паять	кафx̌ел ч. (кин)						
певица	соз-лẙвӣj						
певунья	jӣɣāн						
пегий	аллā						
пекарь	гарðа-пӣʒӣj, пухтангāр						
пекло	таммӯс				м		
пелена	лиqоб				м		
пеленать	wиx̌так ч. (кин)						
пеленка	чор-jулак				м		
пена	хӣф				м		
пенек	Кунда-буц, буɣʒ				м		
пенистый	хӣфин, сер-хӣф						
пениться	хӣф ч. (кин)						
пенка	хӣфак, рубак				м		
пенки	хӣфак, ɣубāй				м		
пенсионер	нафаqа-зêзӣj/гӣр						
пенсия	нафаqā				м		
пенька	вāx̌еj, канāб				м		
пеньковый	канāбин						
пеня	иштироб				м		
первоначально	аwалẙн, сар аwwал						
первоначальный	аwалӣн						
первооткрыватель	пẙндзиwêðӣj						
первопроходчик	пẙнд-зиwêðӣj						
первый	аwалӣн бор/пӣð						
перебежчик	бандар-x̌икан						
перебивать разговор	фарзӣн лẙвдоw, гāп вириx̌тоw						
перебирание	лаwāрс				м		
переборка	мундāл						
переборка шерсти	wиx̌камбиʒ						
перебрасывание камнями	qӣмб-фаɣ						
перевал	кутал				ж		
перевернутый	тӣр-чи-бӣр, чиɣêв						
перевертывание	пāли-гарðӯн						
перевирать	гāп тêбтоw						
перевод	тарjумā м, тилмочи						
перевод (лошади)	табӣлā						
переводчик	тилмоч, тарjумẙн						
перевозить	вāр:вӯд						
перевозка	wилаw, wӣз-тӣжд				м		
перевозка зерна	каx̌т-тӣжд						
переворачивание	wишwол, мāлаq, тор-мāлāq						
перевязанный	тумɣол						
перевязать	тумɣол ð. (ðāð)						
перегной	амӯð				м		
переговариваться	амгап с. (сāw)						
переговоры	гуфтушунӣд				м		
перегонка	пиро-ðêдак				м		
перегонять	пиро ð. (ðи)						
перегородка	мундāл, тахта-банди				м		
перегруженность	серкори				м		
переданный	ðоðjак						
передача	тāwӣл, танêб (кāнд)				ж		
передающий	аθêрӣj						
передвигать	кирêx̌:кирêx̌т						
переделка	тултx̌êзд						
переделывать	кин:чӣд						
передний	пиро(д), пироненj						
передник	лунги				м		
передняя лука седла	qош				м		
передовой	пеx̌раw, тараqqи-чӯɣ̌j						
передразнивать	парðêw:парðêwд						
передышка	от, танаф-фус				м/ж		
переезжать	дар-гузар с. (сāw)						
пережаривание	ситêбиʒ				м		
пережаривать	ситêб:ситêбт						
переживание	койиx̌ м, сипӯɣ̌ʒ						
пережигать	биjӣск ч. (кин)						
перекашиваться	каɣ̌ с. (сāw)						
переключать	марwат, тêбтоw						
перекос	чӯрðи, каɣ̌и				м		
перекошенный	каɣ̌, чап-чурɣā						
перекресток	чорбӯнд				м		
перекрывать	чак ч. (кин)						
перекрытие	ситагāн						
переливать	холи ч. (кин)						
переливы	маwj				м		
перелистывать	wарāq ð. (ðāð)						
перелом	вируx̌чин м, вириx̌цин ж						
перемена	танаффус м/ж, табдӣл						
перемешивание	хайлā						
перемешивать	wиш: wишт, алалаш ч. (кин)						
перемещаться	wол:wолт						
перемигивание	цемаки м. ð(ðāð)						
перемигивать	цемаки ð (ðāð)						
переносить	вāр: вӯд						~болезнь пāɣ: пāɣд
переноска	парвор м, чоx̌(т)-wӣз-тӣжд						
переносчик	кирêx̌ӣj, каx̌т-тāжӣj, каx̌т-вор, каx̌т-вāрӣj						
перепалка	ðêд-ат wиʒид				м		
перепел	горð				ж		
перепелиное мясо	горðанд						
перепелка	горð				ж		
переплет	муqоб/wā						
переплетать	муqобā ч. (кин)						
переплетенный	зарwӣн						
переполненный	фур-фур, там-там, тамбā, тамбӣдā, тẙлā						
перепонка	нêʒак				ж		
перепоручать	патêw: патêwд, сипор: сипорт						
переправлять	wêз: wêзд, зибен: зибент						
перепрыгивать	аллоз ч. (кин)						
перепуганный	офати, x̌оjиjин						
перепутанный	хеj-wеjак, хапчā						
перепутываться	поð-тар-поð с. (сāw)						
перерастать	даwẙн: даwẙнт, пиx̌ум-наɣ̌jӣд с. (сāw)						
перерыв	танаффус				м		
пересаливать	биʒӣx̌ (/талх-ат) мор ч. (кин)						
пересекать	дар-гузар с. (сāw)						
переселенец	кӯчрẙн						
переселение	кӯчрẙни				м		
переселяться	кучрẙн с. (сāw)						
перескакивать	аллоз ч. (кин)						
перескочить	зибан: зибуд м, зибад ж						
пересол	qӣновā				ж		
пересоленный	биʒӣx̌(ов), зāр-ат мор						
пересолить	qӣнов ч. (кин)						
переставать	бāс (/курук) с. (сāw)						
перестать	доиться чак с. (сāw)						
перестрелка	qӣмбадах				м		
пересыпать	биx̌ча: биx̌чӣрт, сипен: сипент						
пересыхать	килāхч вӣстоw, дак: дакт						
переутомленный	мот-ат мофā, jукч						
переход	фарсанг м, наɣ̌jӣд						
переходящий	дар-гузар						
перец	мӯрч				м		
перечень	рӯйхат						
перечеркивать	хат ð. (ðāð)						
перечислять	нẙмбар ч. (кин)						
перешептывание	гāпак				м		
перешептываться	гāпак ð. (ðāð)						
перешивание	тулткӣx̌				м		
перешивание	тулт-кӣx̌				м		
пери	пари(зод)				м		
перламутр	садāф(и)						
перламутровый	садāфин						
пернатые	парандā						
пернатый	пāрдор						
перо	āр м; перот						
персик	шафтоли				ж		
персиковый	шафтолийин						
персона	нафар				м		
перстень	нигӣнā, чиллā				ж		
перхоть	чинозг				м		
перчатка	(даст)белā, даст-мӯзā				м		
перья	пӯм, пāр				м		
пес	куд				м		
песенка	созак				ж		
песнопение	соз-лẙвд, созманди				м		
песочный	регдор, шошдор						
пестренький	чӯɣ̌ак, чӯɣ̌ик, б. чуwак						
пестрота	чуɣ̌еʒ, x̌ипêрāнг				м		
песчаный	шошин, шошдор, регдор, ладаш						
петух	чуx̌, мурɣ				м		
пех	пêх, сипӣл					(местный сапог)	
печально	пуралам, цӣx̌						
печатание	чоп(-чӣд)				м		
печатать	нашри ч. (кин)						
печататься	нашри с. (сāw)						
печатник	чоп-кинӣj						
печатный	чопи						
печать	мӯр, матбӯ(h)от				м		
печень	θод ж, jигāр ж/м						
печка	кицорак, полчаки				м		
пеший	пийоðā, бе-wилоɣ						
пешком	пийоðā(-йаθ), ас маркаби рӯ пийоðā						
пиала	чӣни, пийолā				ж		
пика	не/айзā				ж		
пикантный	бамаззā						
пила	аррā, арабиц				ж		
пиликать	ʒӣɣ:ʒӣɣд						
пилить	аррā ð. (ðāð)						
пилка	аррабиц				ж		
пильщик	арра-ðāðӣj, арра-каx̌, аррадор						
пинки	шалоq-кори						
пиодермия	сипирêɣак				м		
пир	сайӣд, пӣр						
пировать	базм (/саwлат) ч. (кин)						
пирожок	самбӯсā				м		
пис (мера измерения)	пӣс						
писарь	хāт-нивишӣj, мӣрзо						
писатель	нивишӣj, наwесандā, наwqалам						
писец	мӣрзо, нивишӣj						
письменно	хатти, салẙмнẙмā						
письменный	хатти						
письмо	хāт, мактӯб				ж		
письмоносец	хат-тāжӣj, хāткаx̌						
питательный	ба-qуwат						
питать	серхарч ч. (кин)						
питаться	хāр: хӯд, аwqот ч. (кин)						
питающийся	харч, хāрӣj						
пихт	пиx̌т				м	(вид толокна)	
пичужка	чиq				м		
пищевод	роштак-дармẙн						
плавать	wāз:wӣx̌т						
плавить	об ч. (кин)						
плавиться	x̌аð: x̌аðд, об с. (сāw)						
плавно	лумб-лумб						
плакса	фирɣ̌ӣj, нāwӣj-ат фирɣӣj, фирɣ̌āн						
плаксивость	jаɣjӣри				м		
пламенеть	шулwā ð. (ðāð)						
пламенно	ба-сӯз-аθ						
план	наqшā м, пилāн м/ж						
пластырь	мал(h)ам, малāм				м		
плательщик	пӯл-ðāðӣj						
платный	пӯлаки						
платье	куртā				м		
плачущий	пирнāwдакен, пайнаwдакен, шифаqак-кун						
плевательница	туфдẙнак				м/ж		
плевать	туф: туфт, туф ч.						
плевел	мастак				м		
плевок	туф(ч)				м		
племенной	зоти						
племя	тойифā				м		
племянник	хêр(ик/буц), хорзодā, хуарзодā						
племянница	хêр(ик) ж, хêрбиц ж, хорзодā						
племянничек	хêрбуц(ак), хêрик						
плененный	гирифтор						
плескаться	луq:луqт						
плестись	wуц: wуцт, думраwи ч. (кин)						
плетение	ɣибẙx̌ӣj						
плетенка	цупчак				м		
плеть	дуррā				ж		
плетясь	wуц-wуц						
плечистый	теппā, фирохсӣнā						
плешиветь	кал с. (сāw)						
плешивый	кал, кӣл						
плеяды	парwӣн ж, сурайо				м		
плита	тахтā м, сêд				ж		
плодить детенышей	буц ч. (кин)						
плодовый	меwадор						
плодоножка	дастāйак, думчак						
плодоносный	сербāрā, сермеwā						
плодоношение	вӣри				м		
плодородие	серосили				м		
плодородный	серосил						
плодотворный	сермāсӯл, самарабахш, сербāр, сербāрā, сермеwā						
плоская	шипāки, шитêqи, шипӣки				м		
плоская (поверхность)	шипāк				ж		
плоский	ам/нwор, шитêq ж, шипӣк м						
плот	сāл				ж		
плотина	wиспӯнд				м		
плотник	(ðорг)тêx̌ӣj, чӯбти/ароx̌						
плотничество	чӯбтироx̌и				м		
плоть	jисм, танā				м		
плоховатый	безеб-рāнг						
плохое обстоятельство	рузгор				м		
плохонький	шакиjин, безебрāнг						
плошать	хатойи ч. (кин)						
площадка	ширум(б)				м/ж	(для молотьбы)	
плуг	сипорн				ж		
плут	фāндин, фāнд-ðāðӣj, фиреб-ðāðӣj, фиребгāр, насаq-нêðӣj						
плутать	ангẙх: ангẙхт, ингẙх: иншẙхт						
плутишка	шайтẙн-буц				м		
плутоватый	фāндин, найранг						
плутовать	фиребгари (/найрангбози) ч. (кин)						
плутовка	шайтẙн-биц				ж		
плыть	ови с. (сāw)						
плющ	(ишqи) печẙн						
плющить	шипӣк ч. (кин)						
плющиться	шипӣк с. (сāw)						
пляж	x̌иноwари-jойгā						
плясун	рāqqос, раqосигāр, рāхцӣj						
по-видимому	гумẙн, гумӯн, баɣер, зойро						
по-всякому	азолаwẙн, ба аргӯнā-θ						
по-всякому	азолаwẙн, ба ар-гӯнā-θ						
побаиваться	цираq:цираqт						
побег	рицистоw						
побег	палак, куx̌ч						
побег	рицистоw						
побег	палак, куx̌ч						
побеги	наwчā, бункӣнцак, чинголак						
победа	ɣалабā				м		
победитель	забар, тāр-кинӣj						
побежденный	маɣлӯб, шурɣ						
побеленный	гāч-ðоðjин						
побелка	гāчкори				м		
побережье	дарйо-лāв						
побивать	зарб (/тоб) ð. (ðāð)						
побираться	гадойи (/дарwêзā) ч. (кин)						
поблажка	раwаx̌ чӣд						
побледневший	рāнг-зибуðj						
побои	дê-бушап, дê-буx̌ап, дê-бичук, шимāй						
побоище	занозани				м		
поборник	тарафдор, адолатхо						
побратим	биродар-хẙн(д)						
побудка	ага-чӣ(д)						
побыстрей	ба зӯди, jāлди						
повадившийся	фархӣр						
повадка	фархӣри				м		
поваживать	фархӣр с. (сāw)						
повар	пухтангāр, пӣʒӣj, таẙм-пӣʒӣj						
повезти	риwоj ð. (ðи)						
повеление	фармойиш, укмдори				м		
повелитель	укмдор, укфармо						
повергнутый	тӣр-чи-бӣр						
поверенный	wакӣл, сирдẙн						
поверженный	шурɣ						
повернувшийся	рӯ-гарðӯн						
поверхностно	рӯфитӯрм(аθ), рӯйаки						
поверхностный	рӯйаки						
повествование	наqли, лẙвиʒ				м		
повествовать	лẙв, лу, ло: лẙвд						
повестка	хāт, рӯзнẙмā				ж		
повилика	ишqи печẙн					бот.	
повиновение	ито(h)ат				м		
повисший	аwеʒẙн, киx̌лā						
поводырь	кẙр-моθ						
поводья	лаjẙм				м		
поврежденный	мансӯхт, шут м, шат ж						
повседневный	ар-меθā, аррӯзā						
повсеместно	ар-jо, тора-wорā, тоталаш						
повтор	такрор с.						
повторение	такрор(чӣд)						
повторно	ас-сар-аθ, ас-саракаθ, такроран						
повторно	ас-сар-аθ, ас-сарак-аθ, такроран						
повторный	ðутовāк, ду(йум)борā						
повторять	такрор ч. (кин)						
повторяться	такрор с. (сāw)						
повторяющийся	такрор-кунӣj						
повыше	(ас) тӣрди, пи тӣрди, патади						
повязывание чалмы и шарфа	салла-вӣст, qетармā						
повязывать	чалму саллā вӣстоw						
погибель	алок(ат)						
погибший	тирак-мāрг						
поглаживать	реθ: реθт, бишмундак ð. (ðāð)						
поглощение	фирӯ-йêд						
поглощенный	махшӯл						
погожий	аwоги, аwойи						
погонщик	диwенӣj, ай-кунӣj, тайоq-ðāðӣj, wилаwдор						
погребение	хок чӣд						
погребенный	зинда-qāбар (/гẙр) чӯ???jɣ̌j (ин)						
погремушка	лах(ак), лахлахāнак				м		
погружать	бор ч. (кин)						
погружение	кифтак						
погруженный	калаɣẙт, чуртẙни						
погрустневший	хафа-таб						
погубленный	шаттол, обнифироw						
подаваться	луц:луцт						
подавиться	ангахцт: ангихт, ингахц: ингихт						
подавленность	и/уболи				м		
подальше	ðар(дар)ди						
податель	аθêрӣj						
подача	мяча тӣрqẙп						
подачка	биðẙʒ				м		
подаяние	хайр, садаqā				м		
подбадривать	дилосо ð. (ðāð)						
подбалка	оwāx̌к				м		
подбивать	wāрêз:wāрêзд						
подбородок	зингẙн				м		
подбрасывать	патêw: патêwд, wеð: wеðд						
подвертываться	гāрð: гāx̌т, пидwиð: пидwиðд						
подвеска	каx̌ч				м		
подвешенный	галwезẙн						
подвешивать	аwез: аwезд, аwезẙн ч. (кин)						
подвиг	корнамойи м, ниx̌ẙн; камарбастā						
подвижность	сераракати				м		
подвижный	тирахтā, бе-виноw, jобук, сераракат, талотӯф						
подвластный	бандā						
подвозить	патêw:патêwд						
подворачиваться	тӣп:тӣпт						
подгорелый	сӯхтā, биjӣск						
подготавливать	сириx̌тā (/тайори, тахт) ч. (кин)						
подготавливаться	ху сириx̌тā ч. (кин)						
подготовленный	тайорā						
подделка	сохтакори				м		
поддельный	дуqаламā						
поддразнивание	Qилоɣ-гӣри, qāрjинеʒ				м		
поддразнивать	qилоɣ анjӣвдоw (б. инjӣвдоw)						
поддувало	сẙлак				м		
поденная работа	мардикори				м		
поденщик	мардикор						
поденщина	мардикори				м		
подергиваться	жибутак ð. (ðāð)						
поджаривание	ситêбиʒ, риʒен				м		
поджаривать	ситêб:ситêбт						
поджариваться	ситафц:ситӯвд						
поджигатель	пиðинӣj						
поджигать	пиðин: пиðид, пуз ð. (ðāð)						
поджигаться	пуз ð. (ðи)						
поджидание	интизори, падери				м		
поджидающий	гӣр, падер						
поджог	пуз				м		
подземный	тāзамӣнаки, са(р)довā, бӣрзимāðаки						
подзывание (животных)	цуп-цуп						
подзывать	тӯ-тӯ ч. (кин), цуп: упт						
подкалывание	qарjинеʒ				м		
подкалывать	нех ð. (ðāð)						
подкапывать	рарð:руx̌т						
подкарауливание	молаx̌				м		
подкарауливать	молаx̌ ч. (кин)						
подкладка	астāр, пиjумч				м		
подкова	нол(-кāнд)				м		
подковывать	нол ч. (кин)						
подковыра	шиqаби				м		
подковыривать	шиqаби ч. (кин)						
подкормка	биðẙʒ				м		
подкрадываться	сêр:сêрт						
подкрашивать	рêз: рêзд, рẙʒ: рẙʒд						
подлежащее	мубтадо				м		
подлизывание	косалеси				м		
подлинный	асли						
подлость	мурðори, балогари				м		
подлый	мурðор, муртад						
подмазывать	мол:молт						
подматрасник	кāгāнд				ж		
подметальщик	зидāрӣj, рẙбӣj, видӣрмдор						
подметание	зидāриз/ʒ						
подмигивание	цемаки				м		
подмигивать	цемаки (/карθапаки) ð. (ðāð)						
подминать	ху пи-бӣр ð. (ðāð)						
подмокать	хист с. (сāw)						
подмостки	сāнā				м		
поднажимать	шаш-тиранг анjӣвдоw (б. инjӣвдоw)						
поднебесье	арш				м		
подножка	пӣðак ж, пеx̌wор						
подножье	бун, дẙманā						
поднос	лаганд				ж		
подносик	лаган-биц				ж		
подносить	вāр: вӯд, тар пиро видоw						
поднятый	сенчак						
подобает	раwо, зеб ð. (ðи)						
подогревание	каш-чӣд						
подогревать	каш ч. (кин)						
пододеяльник	x̌аб-чодар				ж		
подозревать	гумẙн(и) ч. (кин)						
подозревающий	гумẙни						
подозрительный	бадгумẙн, бадзорð, баддил						
подол	дẙмāн				м		
подорожник	рāгак-wоx̌				м		
подохший	думбẙр						
подошва	дẙманā						
подпаивать	маст ч. (кин)						
подпаливать	пуз ð. (ðāð)						
подпаливаться	пуз ð. (ðи)						
подпирать	тумбā ð. (ðāð)						
подписка	обӯнā				ж		
подписывать	дастхат (/обӯнā) ч. (кин)						
подписываться	обӯнā с. (сāw)						
подпись	дастхат				м		
подпол	бӣрпой				м		
подпоясываться	тар мӣð ч. (кин)						
подпруга	тирāнг				ж		
подпрыгивание	ʒӣнʒилāq				ж		
подпрыгивать	патти зибидоw, кӯнпарак ð. (ðāð)						
подпрыгивающий	сӣчзан, зибанӣj						
подравнивать	тирози (/бураx̌) ч. (кин)						
подрагивание	жиб/ɣутак				м		
подрагивать	луц: луцт, луццаст ч. (кин)						
подрагиваться	жибутак ð. (ðāð)						
подражание	тахлӣт				м		
подразнивать	мазмӯн ч. (кин)						
подрастать	андиʒ:андӯйд						
подрезать	пāɣ ð. (ðāð); x̌ичанд: x̌ичуx̌т						
подросший	ɣуллā; (перен. ) ворj						
подруга	рафêq, оx̌но						
подружка	лало						
подрумяненный	бẙн						
подрывать	рарð:руx̌т						
подрывник	пумба-ðāðӣj						
подряд	ас-йӯндаθ						
подсвечник	сокинак, цироwдẙн				м		
подскакивать	арāз: аруx̌т, сакц: сикт						
подскок	парраx̌				м		
подслеповатый	камнӯр						
подставлять	тумбā ð. (ðāð)						
подстаивание	хилеwак с.						
подстилать	бӣр wеðдоw, биjӣн wеðдоw						
подстрекатель	ðêд-wеðӣj						
подстрекать	фитнагари ч. (кин)						
подстрекающий	x̌ӯр-зан						
подстригать	калтӯй ч. (кин)						
подстриженный	пуп, калтӯй						
подсудимый	айбдор						
подсчитывание	исоб-чӣд						
подталкивание	бāр-ðêдак				м		
подтверждать	исбот (/сибӯт, тасдӣq) ч. (кин),						
подтверждаться	исбот с. (сāw)						
подтверждение	шойиди, сибӯт, исбот, тасдӣq						
подтесывать	похул ð. (ðāð)						
подтесывать	пāй ð. (ðāð)						
подтянутый	тирахтā						
подхалим	зив-ðāðӣj, зив-зан, косалес						
подхалимничать	косалеси ч. (кин), тамаллуɣ лẙвдоw						
подхалимство	косалеси				м		
подхвостник	qӯш, парðум				м		
подчас	бāзан, йигẙни						
подчеркивать	хат тӣждоw						
подчинение	ито(h)ат, таслӣм						
подчиненный	тобӣ(н)						
подчинять	тобӣн (/таслӣм) ч. (кин)						
подшивать	Милāхт-вӯшч ч. (кин)						
подшивка	нефā м, нефадор						
подшитый	милāхт-вӯсч, панjапорги						
пожалование	пийӣл-бодо						
пожалуй	баɣер, албāт, ното, хêр дина						
пожалуйста	марāмат, бофт						
пожертвование	садаqā				м		
пожертвовать	ху-рд молтоw, хуðойи ч. (кин)						
пожизненно	умрибод						
пожирать	фатаст ð. (ðāð)						
пожитки	инjẙм, wӣз-ат wидẙм, wêх						
поза	чуɣи				м		
позавчера	аx̌ӣб, пар-аx̌ӣб						
позавчерашний	аx̌ӣбӣнj						
позапрошлогодний	садосӣнj						
позапрошлый год	садос						
позволение	рухсат, иjозат(ðêд)						
позвоночник	мӣð				м/ж		
позднее	ас ми таред, дераки						
поздненько	дер-рāнг						
поздно	беwахт, дер						
поздновато	дер-рāнг						
поздравительный	табрӣкнẙмā						
поздравление	муборакбод, табрӣк						
поздравлять	мӯйдахойи (/табрӣк) ч. (кин)						
позже	сар-зибо						
позже	зибоди						
познакомившийся	парwарðā						
позолоченный	тиллойи(н)						
позориться	беобрӯй (/бāднẙм, расwо) с. (сāw)						
позорный	парðêwак, беномӯс						
поименованный	бêмадẙни						
поимка	дарйов(чӯд)						
поиск	камӣн						
поиски	сироq, даqсуq, гулбẙнг, дар сироq						
поистине	рости-аθ, ас рости-аθ, аqêqатан(д)						
пойло	мойлā, тарӣт				м		
пойманный	дастгӣр						
поймать	каманд ð. (ðāð), анjāв: анjӯвд						
показания	итло, шойиди, гуwойи						
показывающий	дивесӣj						
показывающийся	дивесӣj, камдӣдор, камнамо						
покатое место	тунди, хāмби, тунд-рӯйā						
покатость	калапойги м, сарниx̌еби				м		
покатый	тунд-рāнг, хāмби, (сар)ниx̌еб						
покачивать	(головой) кāл jумбентоw, лаq: лаqт						
покачиваясь	гилнêɣ̌акгилнêɣ̌ак, рабахāw-рабахāw						
покашливание	кêхак				м		
покинуть	безор ч. (кин)						
поклажа	wӣз-ат-wилẙм, дāл-дуq				м		
поклон	шиздā м, сажддā ж/м						
поклонение	ибодат				м		
поклоняющийся	шиздагāр						
покойник	мурðā				м		
покойницкая	мурðа-хẙнā				м		
покойный	рāмати						
поколачивание	лах-лах						
поколачивать	лах-лах ч. (кин)						
покончить	нарêсен: нарêсент	нарайсен: нарайсент					
покорение	таслӣм				м		
покоренный	маɣлӯб						
покорный	тобӣ(н), рẙм, тобе						
покорять	таслӣм (/маɣлӯб) ч. (кин)						
