shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
pas	pas												следовательно, значит, выходит, итак, ну так	xȇr, pas ik-íd mu xōlā́ Safar-mō wi xidī́r puc γ̌ín-and wam xudí amā́ rizī́n sůd! ну хорошо, значит, эта моя тетка (по матери) Сафар-мо, выходит, дочь тетки (по отцу) жены его старшего сына!	
pas-pasák widír	paspasak widir												спустя три дня, через три дня		
pasā́k	pasak,pasaki	pasākí											стойло, конюшня (летняя)	vṓrǰ-um vūst ar pasākí я привязал лошадь в стойле	
pāst	past,pas	pās											низкий, низменный		
past ðȇdṓw	past ðedow,pas ðedow	pas ðȇdṓw											размалывать, выдавать муку (о мельнице)	yu xidṓrǰ bašā́nd past ðīd та мельница хорошо мелет; ar waxt xidṓrǰ pas(t) ca ðīd, yṓγ̌ǰ-ta ar tavů́ng razd когда мельница мелет, то мука сыплется в ящик	
pāst ðȇdṓw	past ðedow,pas ðedow	pās ðȇdṓw											победить, одолеть (в борьбе)	yu γiðā wēv digá bač-galā́-yi pās(t) ðōd этот парень одолел всех остальных ребят	
past-u-balandí	pastubalandi												неровность (дороги)		
pastí	pasti												низкость, низина	pastí čīdṓw быть слишком низким; yid murd pastí kix̌t это мне слишком низко	
pastigarí	pastigari												низость, низкое звание, унизительность, незначительность	a-rō, yu yik-důnd kataǰůn yast didi, mu qatī́r ōr kix̌t gāp ðȇd: albát wuz wird pastigari kinúm он так высокомерен, что гнушается со мной разговаривать; конечно, я для него слишком незначителен	
pasů́n widír	pasun widir												спустя два дня, через два дня		
pasx̌o	pasxo												дружка (на свадьбе)		
pat čīdṓw	pat čidow												поднимать, приподнимать	ik-mam žir pat kin подними этот камень	ср. pát(t)i
patarā́ǰ	pataraj,pitaraj	pitarā́ǰ											вверх, наверх		
patlů́n	patlun												брюки		
pattȇ́w	pattew,patew,pittew,pitew,pattewd,patewd,pittewd,pitewd,pattewd,patewd,pittewd,pitewd,pattewj,patewj,pittewj,pitewj,pattewdow,patewdow,pittewdow,pitewdow	patȇ́w, pittȇ́w, pitȇ́w		pattȇ́wd, patȇ́wd, pittȇ́wd, pitȇ́wd			pattȇ́wd, patȇ́wd, pittȇ́wd, pitȇ́wd	pattȇ́wǰ, patȇ́wǰ, pittȇ́wǰ, pitȇ́wǰ			pattȇ́wdṓw, patȇ́wdṓw, pittȇ́wdṓw, pitȇ́wdṓw		бросать, валить	yu wam diráxt-i patȇ́wd он повалил дерево; yu tar karōwṓt-i xu patȇ́wd он бросился в кровать	2 мн. pat(t)ȇwēt, pit(t)ȇwēt, сокр. pat(t)ēt, pit(t)ēt; 3 мн. pat(t)ȇwēn, pit(t)ȇwēn, сокр. pat(t)ēn, pit(t)ēn; пов. pat(t)ȇw, pit(t)ȇw, сокр. pat(t)i, pit(t)i
pátti	patti,pati	páti											сверху, над	pát(t)i sittṓw подниматься	
Patxů́r	Patxur												назв. селения на р. Гунт		
pax̌č	paxč												помет мелкого рогатого скота и верблюдов		
pāxc	paxc,paγd,paxst,paγj,paγdow			pāγd			pāxst	pāγǰ			pāγdṓw		перенести, перетерпеть (болезнь), переболеть		
pāxč čīdṓw	paxč čidow												давить, жать, мять	mu x̌āb laγ̌ʒák paxč čūd ночью меня давил кошмар	
paxtā́	paxta												хлопок, вата		
pāy	pay												сметана, кислое молоко		
payrā́	payra,parya	paryā́											конвой, охрана, караул, стража	payrā́ nīstṓw сторожить, караулить	
payradorí	payradori												охрана, караул, стража	nur x̌ab bašā́nd payradōrí kinḗt сегодня ночью хорошенько караульте	
paysā́	paysa												мелочь, мелкие деньги		
payzṓr	payzor												башмаки, полуботинки (афганские)		
payγumbár	payγumbar												пророк		
paγ̌nī́ʒ	paγ̌niʒ												маслобойка, большой глиняный кувшин		
pēč	peč												завиток, оборот, винт		
pēčák	pečak												коса (женская)		
pēčakḗʒ	pečakeʒ												шерсть для изготовления привязных женских кос		
pēčů́n	pečun,pečunt			pēčů́nt									закрывать, укутывать	yi tīt as xu kā́l-ti zēn xu wam paγ̌nī́ʒ γȇ́v-ard pēčů́nēn берут с головы платок и закрывают отверстие маслобойки	
pȇð	peð												силок, западня для птиц и куниц		
pēðṓ	peðo												очевидный, явный	pēðṓ čīdṓw найти, обнаружить, достать; pēðṓ sittṓw найтись, появиться, возникнуть	
pēmůnā́	pemuna												мера, удел, предел (жизненный)	a-rō, wi pēmůnā́ di pur ca vud, guǰ-tīžd wird sut bānā́ раз его предел исполнился, козлодрание было только предлогом (поводом) (о погибшем во время козлодрания)	
pȇrnák	pernak												пятка, каблук		
pērṓ	pero												перо (для письма)		(нов.)
pȇrʒ	perʒ												ребро		
pȇrʒák	perʒak												поперечина, перекладина	kōfír-bȇrʒ дверная перекладина	
pȇw	pew,pewd,pewd,pewdow			pȇwd			pȇwd				pȇwdṓw		квасить, заквашивать (молоко)		
pēwā́nd	pewand												связанный, соединенный	pēwā́nd ðȇdṓw сращивать, спаивать, припаивать; прививать (деревья); mam tōθč pēwā́nd ðȇdṓw yōs отнеси срастить (починить) это деревянное блюдо; mu tūð pēwā́nd ðȇdṓw-ard мои тутовые деревья нуждаются в прививке	
pēx̌	pex												прежний, былой, прежде, раньше	pēx̌ waxtḗn, pēx̌ wáxt-and в старое время, в былые времена; taxmīnán 80 sōl pēx̌ примерно лет 80 тому назад	
pȇx	pex												высокие мягкие сапоги местной работы	suglí pȇx сапоги из одного куска; milā́xt vūšč pȇx сапоги с подшитой подошвой; pȇx-ancāvī́ǰ сапожник	м.
pêx ancāvī́ǰ	pex ancavij												сапожник		
pêx ancāvī́ǰ	pêx ancavij												сапожник		
pēx̌ čīdṓw	pex čidow												продвинуть, выдвинуть, вывести вперед, протянуть	xu vṓrǰ-i pēx̌ čūd он вывел свою лошадь; wúz-um wi qatí sitq pēx̌ čūγ̌ǰ я преуспел в дружбе с ним (подвинул вперед дружбу с ним)	
pēx̌ tīždṓw	pex tiždow												гнаться, догонять, преследовать	wúz-um wēv pēx̌ tīžd, yī́w-um anǰū́vd atā, wāð ðú-gad-ēn ricṓst я погнался за ними, одного поймал, а двое других убежали	
pēx̌-pēx̌	pexpex,pextapex	pēx̌-ta-pēx̌											постепенно, мало-помалу		
pēx̌-ráv atrát	pexrav atrat												авангард		
pēx̌-ráv atrát	pexrav atrat												авангард		
pēx̌akí	pexaki												раньше, прежде	pēx̌akí pūl аванс, задаток	
pēx̌bár	pexbar												преимущество в игре или состязании	pēx̌bár ðȇdṓw (ðāð) дать фору (преимущество) в состязании; mu vṓrǰ-ard pēx̌bár ðāð пусти мою лошадь вперед; a-rō, ya, wuz turd pēx̌bár ðām xu zṓzām иди, я тебе дам фору, и мы побежим	
pēx̌bā́r	pexbar												пола, фалда (халата)	pi čālák-and-um nūst xu, mu pēx̌bā́r θūðǰ я сидел на скамейке у очага и у меня обгорела пола	
pēx̌c	pexc,pexst,pexst,pexč,pexstow			pēx̌st			pēx̌st	pēx̌č			pēx̌stṓw		спрашивать, допрашивать, расследовать	wam dṓð-aθ yi yṓraθ na pēx̌st ее жалобы никто не расследует	
pȇxčín	pexčin												вареный, спелый, зрелый, печеный		
pȇxḗǰ	pexej												выделанная кожа для сапог		
pēx̌ī́n	pexin												послеполуденное время	"pēx̌ī́ni pāst позднее после полудня, перед вечером; xidī́r pēx̌ī́n солнце на полпути от полудня к закату; namṓzi pēx̌ī́n между ""xidīr pēx̌īn"" и закатом"	
pēx̌īnakí	pexinaki												после полудня, перед вечером	pēx̌īnakí-ta x̌ūʒ andī́zd, tām mam xalů́n divḗnām после полудня поднимется ветер, и тогда будем веять это зерно	
pēx̌qáwʒ	pexqawʒ												обоюдоострый кинжал		
pēx̌ráw	pexraw												передовой	pēx̌ráw atrát передовой отряд	
pēx̌ůní	pexuni												лоб		
pēx̌wṓr	pexwor												подножки у ткацкого станка		
pēx̌wṓz	pexwoz												терраса; летнее открытое помещение во дворе	"pēx̌wṓz-ta wēd yō mūn bī́r-va kinḗn, ik-dů́nd ǰāt didi, wēd yō mūn bī́r-va sōyā́ ""pēx̌wṓz"" устраивают под ивой или яблоней, так как под ивой или яблоней тень"	
pȇγů́m	peγum												известие, весть		
pi	pi,pad	pad											предлог, выражающий направление вверх, нахождение вверху	"tūð pi dišī́d sifḗn подними тутовые ягоды на крышу; mu čīd pi tīr мой дом наверху; ca-rāng kinā́m, māš pi tīr sifā́nām как бы нам подняться наверх; pí Xoxdará yu sut γ̌in anǰī́vd он отправился жениться в Шахдару; pi Xox̌dará asíd lap šitṓ в Шахдаре в этом году очень холодно; wuz pi čīd sā́wum я пойду домой (вверх); pi mu niθ подожди меня; wuz ar xu čīd pi tu níθum я тебя подожду в своем доме; pi mu xēz ya! поди ко мне! (наверх); xīr pi čōr ""солнце в человеке"" (название праздника)"	
pi	pi,pud,pad,pad,ped,puðj,pic,paðj,pidow			pud	pad	pad	pēd	puðǰ	pic	paðǰ	pidṓw		гнить, портиться, тлеть	žindám ar čō pud пшеница в яме сгнила; a-rō, di kax̌t ar di xistí mā ribí, yid pēd не оставляй зерно в такой сырости, а то оно сгниет	
pi-bīr	pibir												внизу, под	vōrǰ pi-bīr под лошадью; sit pi-bīr под слоем земли, под землей; as zamī́n pi-bīr yi-lāv ǰōyḗn-and yōc nax̌tī́zd из-под земли в некоторых местах выходит огонь; māš bīr wēðǰín vud tūð pi-bī́r наша постель была постлана под тутовым деревом	
pibīzg	pibizg												мочевой пузырь		
pīc	pic,bic	bīc											лицо, лицевая, наружная сторона, поверхность	zamī́n pīc поверхность земли; wi žurn bīc его круглое лицо; xu xāt pīc-ti... на конверте своего письма...; pīc gāx̌tṓw поворачиваться, оборачиваться (лицом)	
picārī́ʒ	picariʒ												проба; небольшое количество кушанья, которое дается кому-либо, когда кушанье еще не настолько готово, чтобы его подавать	picārī́ʒ murd ðāð дай немного попробовать; yi čib ōšík turd picārī́ʒ дам тебе попробовать ложечку	
picēmák	picemak												навязчивый, пристающий, назойливый	неудачный ухаживатель	(= sipēxērā́)
pid	pid												отец		(заимствов. из рушанск.) (ср. tāt, dōd)
pīð	pið												след	pīð tīr tīdṓw идти по следам, выслеживать; naxčī́r pīð tī́r-um tūyd xu, dáð-um wi vūd я пошел по следам горного козла и тогда отыскал его; pīð ðȇdṓw (ðāð) шагать; tar xu čī́d-aθ kūdakḗn yak bṓr na ðēn pīð as xuší от радости дети и домой не думают приходить	
pīð	pið												раз	wúz-um cůnd pīð pis xu vōrǰ sut atā́ wī-m na virū́d я сколько раз ходил за своей лошадью и все-таки не нашел ее	
piðáfc	piðafc,piðuvd,piðovd,piðovd,piðafst,piðuvj,piðovj,piðovj,piðivdow			piðū́vd	piðṓvd	piðṓvd	piðáfst	piðū́vǰ	piðṓvǰ	piðṓvǰ	piðīvdṓw		начинать, приниматься за..., приставать к...	awál fúkaθ x̌ȇ́ð-ti piðáfcēn сначала все принимаются за устройство загонов	
pīðā́k	piðak												раз	a-rō wúz-um turd mi gāp ðu pīðā́k lůd я уже два раза говорил тебе это; ará pīðā́k трижды; cůnd pīðā́k сколько раз	(= pið)
pīðák wēðdṓw	piðak weðdow												делать подножку	a-rō, wúz-um půnd tū́yd-at Yōrík mu pṓð-ard pīðák wēðd xu, wúz-um wȇx̌t я шел по дороге, Йорик сделал мне подножку, и я свалился	
piðḗmb	piðemb,piðemt,piðemt,piðemč,piðemtow			piðḗmt			piðḗmt	piðḗmč			piðēmtṓw		прилеплять, прилаживать	bād wi diví tayṓr kix̌t xu, pi wi ǰōy wi piðḗmt потом изготовляет дверь и устанавливает ее на место; ik-mi xu dā́rð-i pi fúkaθ piðḗmt он всех заразит этой своей болезнью	
piðín	piðin,piðid,piðint,piðiðj,piðidow			piðíd			piðī́nt	piðíðǰ			piðidṓw		зажигать		
piðī́nd	piðind												порог	a-rṓ, piðī́nd tīr mā niθ! не сиди на пороге!	
piðīndák	piðindak												порог, притолока		
piðís	piðis,piðid,piðist,piðiðj,piðic,piðidow			piðíd			piðíst	piðíðǰ	piðíc		piðidṓw		зажигаться		
pidmṓw	pidmow												пугало, чучело		
pidratčí	pidratči												подрядчик		
piðū́γ̌ʒ	piðuγ̌ʒ												веревки, толстые нитки из козьей шерсти		м.
pidwíð	pidwið,pidwiðd			pidwíðd									засучивать (рукава, штаны)		
pidyů́c	pidyuc,pidwiðd,pidwiðj,pidwiðdow						pidwíðd	pidwíðǰ			pidwiðdṓw		нитки (бумажные)	zarrín pidyů́c золоченые (парчевые) нитки; pīllā́ pidyů́c шелковые нитки	м.
pigál	pigal												край крыши		(= sar-pigál)
pigṓ	pigo												давно, раньше, рано	wúz-um nur pigṓ-θ yáθčat я сегодня уже приходил раньше	
piǰḗn	pijen,pijent,pijent,pijenč,pijentow			piǰḗnt			piǰḗnt	piǰḗnč			piǰēntṓw		продевать, нанизывать		
piǰḗnč	pijenč												связка чищеных орехов и абрикосовых косточек, продетых на нитку наподобие бус		
pikín	pikin,pikid,pikint,pikiðj,pikidow			pikíd			pikī́nt	pikíðǰ			pikidṓw		выдергивать	yu as wi pī́c-ti mūy pikíd он выдернул волосок со своего лица	
pīlā́	pila												шелк-сырец, кокон	pīlā́ čixī́ǰ шелковичный червь; idōráyi pīlla-tayōrkunī́ǰ шелкозаготовительное учреждение	
pilā́n	pilan												план, чертеж, схема, карта		(нов.)
piltā́	pilta												фитиль		
pilúk	piluk												валенки, войлочные сапоги		
pīnakí čīdṓw	pinaki čidow												дремать	nur x̌ā́bum as dast xu ðindů́n dārð pīnakí na čūd сегодня ночью я из-за зубной боли (даже) не вздремнул	
piníʒ	piniʒ,pinuyd,pinizd,pinuyj,piniwdow			pinū́yd			pinī́zd	pinū́yǰ			pinīwdṓw		надевать, одевать, одеваться		
pīnǰ	pinj												просо	pīnǰ xēmc просяная солома	
pīnǰ-xēmc	pinjxemc												просяная солома		
pīnǰ-xēmc	pinjxemc,pinjxemc	pinjxemc											просяная солома		
pīnǰbůní	pinjbuni												охрана посевов проса (от птиц)		
pinǰḗʒ	pinjeʒ												участок для проса		
pīnǰín	pinjin												просяной, из проса		
pinů́n	pinun												тайный, скрытый	pinů́n čīdṓw скрывать, прятать	
pīnʒ	pinʒ												пять	pī́nʒ-ðīs пятьдесят; pīnʒí по пяти	
pīr	pir												старый, старик; старец (духовный сан), духовный руководитель, пир		
pīrakí	piraki												старик, очень старый, престарелый		
pirḗnd	pirend,pirent,pirent,pirenč,pirentow			pirḗnt			pirḗnt	pirḗnč			pirēntṓw		кусать (о животном); рвать, истаскивать (платье, обувь)	na sā́wum, xu pȇxḗn na p(i)rḗndum не пойду, не стану истаскивать сапоги	
pirḗx̌	pirex,pirext,pirext,pirexč,pirextow			pirḗx̌t			pirḗx̌t	pirḗx̌č			pirēx̌tṓw		посыпать		
pirgáγ̌	pirgaγ̌,pirguxt,pirgiγ̌d,pirgixtow			pirgúx̌t			pirgī́γ̌d				pirgix̌tṓw		сверлить		
pirgíč	pirgič												мышонок		ср. pūrg
pirgū́y	pirguy,purguy	purgū́y											болтливый, многословный		
pirgūyí	pirguyi,purguyi	purgūyí											болтливость, многословие	pirgūyí čīdṓw много болтать, пространно говорить; lap pirgūyí māk не болтай чрезмерно	
pīrí	piri												старость	tar xu pīrí-rd-i mu bōb lap-lap ōstů́n dūst suðǰ в старости мой дед полюбил мазары (места поклонения)	
pirī́θ	piriθ,pirust,pirost,pirost,piriθt,pirusč,pirušč,pirisc,pirošč,pirosč			pirū́st	pirṓst	pirṓst	pirī́θt	pirū́sč, pirū́šč	pirī́sc	pirṓšč, pirṓsč			рвать, разрывать		
pirṓ	piro,pro	prṓ											перед, передняя часть; прежде	as pirṓ спереди, навстречу; pirō as прежде, до; tar pirṓ вперед, перед; tu tar-p(i)rṓ перед тобой; xu tar-pirṓ впереди себя; cůnd sōl pirṓ сколько лет тому назад; pirṓ as inqilṓb до революции; pirṓ yēdṓw продвинуть вперед; pirṓ ðȇdṓw (ði) опережать, пуститься вперед; sar pirṓ прежде всего, раньше всего; p(i)rṓndi впереди, спереди, перед; прежде; dastōrxů́n-ām vu xu, wēv pirṓ-ndi- yām lāk čūd мы вынесли дастархан и положили перед ними; māš čīd pirṓ-ndi yi kaltanák wēd перед нашим домом большая ива; pirṓ-ndi ōdám-ard lův xu, tām xu kōr kin прежде ответь человеку, а потом уже делай свое дело	
pirṓ ðêdṓw	piro ðedow												опережать		
pirṓ ðêdṓw	piro ðedow												опережать		
pirōdā́ǰ	pirodaj												передняя сторона, направление вперед		
pīrōhán	pirohan,piroan	pīrōán											ворот (и грудь) рубашки		
pirōlētár	piroletar,proletar	prōlētár											пролетарий		(нов.)
pirōnḗnǰ	pironenj												передний		
pirš	pirš,piršt,piršt,piršč,pirštow			piršt			piršt	piršč			pirštṓw		чихать		
piršák	piršak												чиханье	piršák ðȇdṓw (ðāð) чихать	
pirūščín	piruščin												рваный, рванье, тряпье		
pirx̌	pirx												иней		
pīrxůnā́	pirxuna												резиденция Ага-хана (духовного главы исмаилитов)		
pirθȇwák xīr	pirθewak xir												облачно, солнце то показывается, то прячется	nur pirθȇwák xīr, dinyṓ-ta x̌ō vō anǰáfct сегодня облачно; должно быть, опять пойдет дождь	
pis	pis												вслед, за, через, по	pis di ðarȇ́-θ mis wi garmí mā́s-ti firṓpt даже через эту даль его (солнца) теплота доходит до нас; pis žīz sām я пойду за дровами; pis pů́nd-aθ (= půnd qati, pů́nd-va) по дороге; pis divȇ-θ sā́wum я пройду через дверь; pis rů́z-aθ vāx̌ čūd (она) протянула веревку через отверстие в крыше; wúz-um pis dám-aθ я за ней; pis pālí рядом; pis zibṓ назад; wúz-um tūyd pis dēwṓl-aθ я пошел вдоль стены; wúz-um yat pis x̌ác-aθ (= x̌ā́c-va) я пришел по воде (вдоль арыка, берегом реки); wúz-um pis x̌āc yat я пришел за водой; wúz-um pis daryṓ lā́v-aθ (= daryṓ lā́v-va) yat я пришел по берегу реки; wúz-um pis tō-θ vud atā́, tu-t mu na wī́nt я был за тобой, но ты меня не видел; pis ʒalák, pis ʒalík angíx̌t-aθ безымянный палец	(предлог)
pis	pis,pext,pist,pexč,pextow			pȇxt			pist	pȇxč			pȇxtṓw		вариться, поспевать		
piš	piš												кошка	piš-buc котенок; piš-bic кошечка	ж. (см. также puš)
piš	piš												брысь! (окрик на кошку)	"ar waxt di ōdám xḗz-andi piš vad, dáð-ēn di lůd: piš! — yā piš dað as ōdám xḗz-and ricīθt когда около человека находится кошка и на нее крикнут ""piš! "" — кошка убегает от человека"	(ср. pīš-pīš)
pīs	pis												штука барана или овцы средней величины (меновая единица)		
pīš-pīš	pišpiš												кис-кис! (призывный возглас для кошек)		
pīs-pīsānak	pispisanak												дудка, игрушечная флейта с одним или двумя отверстиями	pīs-pīsānák — nāy dastū́r, ar wi darū́n puf ca kiní, awṓz nax̌tī́zd; pīs-pīsānák-ta as wēd půst kinḗn дудка похожа на флейту, если в нее подуть, раздастся голос; ее делают из коры ивы	
pisánd	pisand												нравящийся, подходящий	ik-íd murd lap pisánd это очень нравится; pisánd na čīdṓw ни во что не ставить, не признавать, не считаться; falůní di áčaθ pisánd na kix̌t такой-то его ни во что не ставит	
pišā́w	pišaw,pišud,pišad,pišad,pišud,pišuðj,pišic,pisaðj,pišidow			pišúd	pišád	pišád	pišůd	pišúðǰ	pišíc	pisáðǰ	pišidṓw		утешаться, затихать		
pisḗn	pisen												точильный камень	pisḗn ðȇdṓw (ðāð) точить; darráw pisḗn ðȇd sut (он) сразу принялся точить	
pišȇ́w	pišew,pišewd,pišewd,pišewj,pišewdow			pišȇ́wd			pišȇ́wd	pišȇ́wǰ			pišȇwdṓw		утешать, отвлекать, развлекать	yid γiðā́ xu nān ǰāt lap nůd; yōs pišȇw di этот мальчик очень плачет по своей матери; приведи, утешь его; yu xúbaθ kōr na kíx̌t-at, wēv digá mis pišȇ́wd он и сам не работает и других отвлекает	
pīšmilāwák	pišmilawak												название детской игры		
pistā́	pista												фисташка, фисташковое дерево	pistā́ Xuγ̌nů́n-and nist, ammō ar Xuγ̌nů́n wam badax̌xiyḗn vēn, ik-důnd γ̌āt didi, yā tar Badax̌xů́n lap в Шугнане фисташки нет, но ее привозят бадахшанцы, потому что в Бадахшане ее много	ж.
pisū́n	pisun												заплата, заплатка		
pitarā́ǰ	pitaraj,pataraj	patarā́ǰ											вверх, наверх		
pitín	pitin,pitid,pitint,pitiðj,pitidow			pitíd			pitī́nt	pitíðǰ			pitidṓw		выдергивать, вытаскивать, выкапывать (из земли, из стены)		
pitíš	pitiš												двоюродный брат, двоюродная сестра		
pitṓð	pitoð												место ночевки крупного рогатого скота на летовье		
pix̌ȇ́w	pixew,pixewd,pixud,pixewd,pixewj,pixuðj,pixewdow,pixidow			pix̌ȇ́wd, pix̌úd			pix̌ȇ́wd	pix̌ȇ́wǰ, pix̌úðǰ			pix̌ȇwdṓw, pix̌idṓw		стричь шерсть (козью, овечью, верблюжью)		
pix̌ů́fč	pixufč												грубые, жесткие стебли и ветви, остающиеся в соломе и сене	mardúm wáxti sȇr zḗx̌t-tīr xu píx̌ů́fč mis alōyidā́ buq kinḗn xu, zimistů́n bē γámaθ θȇwēn во время уборки зерна грубые и жесткие стебли и ветки складывают отдельно в кучи, а зимой их употребляют как топливо	м.
piyanḗr	piyaner												пионер		(нов.)
piyī́l	piyil												прощение	piyī́l čīdṓw простить, отпустить	
piyōðā́	piyoða												пеший		
piyōlā́	piyola												деревянная чашка		
piyōvā́	piyova												мясная похлебка с мукой, густой мясной отвар с мучной подболткой		
piyṓz	piyoz												лук (овощ)		
pizūrík	pizurik,pizur	pizūr											немного	pizūr(ík)-ga qōγáz murd dāk дай мне еще немного бумаги	(= dūsík)
pīʒ	piʒ,pext,pizd,pexč,pextow			pȇxt			pīzd	pȇxč			pȇxtṓw		варить		
piγ̌γ̌ást	piγ̌γ̌ast,paγ̌γ̌ast	paγ̌γ̌ást											шум, свист, жужжание (звукоподражание передает звук и быстроту движения)	yā žīr mu cēm pirṓ-va paγ̌γ̌ást naγ̌ǰā́d камень с шумом (свистом) промелькнул перед моими глазами	
piθȇ́k	piθek												отбросы проса, остающиеся после веяния (недозрелое, подмерзшее зерно), идущие на корм птицам		
pō	po												нога	pō-čūv сапожная колодка; pō-ban-dák детский свивальник для ног	только в сложениях
pō-bēl	pobel												окучка, разрыхление почвы	pō-bēl čīdṓw разрыхлять почву, окучивать	
pō-birānā́	pobirana												босоногий, босиком		(= pōðviyṓǰ)
pō-čūv	počuv												колодки для сапог		
pō-rikṓb sittṓw	porikob sittow												запутаться в стременах		
pōc	poc												очередь, смена	pōc sitṓw идти на смену (пасти стадо)	
pōcbēmṓr	pocbemor												беременная		
pōcdṓr	pocdor												очередной, на ком очередь		
pōckṓr	pockor												установление очереди распределение очереди		
pōcvā́x̌	pocvax												детский свивальник (в колыбели)		
pōð	poð												нога	tu poð tīr только ради тебя, в твое исключительное распоряжение; a-rō, wúz-ta yi vōrǰ tu pōð tīr xarī́tum я куплю одну лошадь исключительно ради тебя; xu pṓð-ti самостоятельно, своими силами; falůni xu pṓð-ti čīd-i xurd mīzd он сам построил себе дом	
pōð-ǰṓy	poðjoy,poðjoij	pōð-ǰōī́ǰ											след, отпечаток (ноги)		
pōð-piðī́nd	poðpiðind												дверной порог	tu-t mu pōð-píðī́nd zōx̌č ты торчишь у меня на пороге (ты мне надоедаешь своими посещениями)	
pōdā́	poda												стадо крупного рогатого скота		(нов.)
pōdabů́n	podabun												пастух		(нов.)
pōðḗv	poðev												в ноги, в ногах	x̌ā́b-um x̌ōvd atā, čūx̌t-um ṕíš ar mu pōðḗv я ночью спал, смотрю: в ногах у меня кошка	(только с предлогами ar, as)
pōðí	poði												пара, парный, под пару	wi γiðā́-nd bēd wi bēlā́ pōðí у того парня пропала перчатка под пару; mund mu x̌īǰ-ard yí-ga pōðí nist, agá nay wáxt-um xu čêríʒ tayṓr čū́γ̌ǰat у моего быка нет пары, а то бы я уже давно кончил пахоту	
pōðviyṓǰ	poðviyoj												босой, босиком	wuz pōðviyṓǰ-aθ půnd tīd na vār-ðīm я не могу ходить босиком	
pōðviyōǰí	poðviyoji												ходьба босиком	as pōðviyōǰí mu ǰů́n-ard digá yaθč от ходьбы босиком мне стало невмоготу	
pōk	pok												чистый, начисто, совсем	as xīr garmí ōdám zōrð pōk x̌i-čōft от солнечного зноя у людей совсем сердце лопается; pōk čīdṓw чистить, вычищать	
pok na vēd	pok na ved,pok na vid	pok na vid											вот-вот, чуть не...	pōk na vud чуть было не...; pōk na vēd, ðêd pi mu wēðd вот-вот полезет в драку во мной; falůní-nd wi γ̌ín mōd xu, pōk na vēd yu mis zīnt у такого-то умерла жена, и сам он чуть ли не готов убить себя; pōk na vud nú-yi x̌ivǰat (он) чуть было не побил меня	
pōkát	pokat												конверт, пакет	xū́t-um pōkát-and ðōd xu, bā́d-um ar Xaráγ bōx̌t я вложил письмо в конверт и отправил в Хорог	(нов.)
pōlčakí	polčaki												очажок, временный очаг		
pōlḗʒ	poleʒ,polez	pōlēz											бахча, огород		
Pōmḗr	Pomer												Памир		
pōpū́x̌	popux												деревянные подставки для ходьбы, деревянные сандалии		
pōr	por												та сторона, противоположный берег	pōr wēðdṓw переправить; pōr ðêdṓw (ðiy) переправится	
pōr ðêdṓw	por ðedow												переправляться	agár yu wi-rūyā́ pōr ca ðēd, xu mōl qimmát par ðid если он перейдет на ту сторону, он дорого продаст свой товар	
pōr ðêdṓw	por ðedow												переправляться	agár yu wi-rūyā́ pōr ca ðēd, xu mōl qimmát par ðid если он перейдет на ту сторону, он дорого продаст свой товар	
pōrā́	pora												взятка		
pōraxúr	poraxur												взяточник		
pōrsí	porsi												персидский, по-персидски		
Pōrx̌inḗv	Porxinev,Porxnev	Pōrx̌nḗv											Поршнев, большое селение на р. Пяндж		
pōrx̌inēvḗǰ	porxinevej,porxnevej	pōrx̌nēvḗǰ											поршнивец, житель с. Поршнев		
pōtx̌ṓ	potxo												царь		
pōtx̌ōyingí	potxoyingi												царствование	xu pðtx̌ōyingí wird dā kix̌t передает ему свое царствование	
pōw	pow												прогнившая внутренность дерева	pōw sittṓw прогнивать (о дереве); mu čīd wūs pōw sūðǰ балка в моем доме прогнила	
pōx̌nā́	poxna												каблук		
pōx̌wṓr	poxwor												подножки у ткацкого станка		
pōy	poy,peyd			peyd									пасти, заботиться, оберегать	wúz-ta x̌umnḗ mōl pêyd sām завтра я пойду пасти скот	
pōy-dōrx̌	poydorx												большое тесло с длинной рукояткой (для работы стоя)		
pōyandṓz	poyandoz,poyindoz	pōyindṓz											ковер, расстилаемый при входе ради встречи почетного лица	sayī́d yat tar wi x̌ōð xu, yu wird pōyindṓz wēðd-i когда Саид вошел к нему во двор, он постлал ему под ноги ковер	
pōygā́	poyga												пол, середина жилища		в противоположность нарам (nêx)
pōygā́-diwḗnt	poygadiwent												скачки, состязание		
pōygā-ǰōy	poygajoy												арена, ристалище		
pṓyi qadám	poyi qadam												след ноги, поступь (в значении предзнаменования)	tu pṓyi qadám nēk nax̌tū́yd ты оказался с хорошим следом (т. е. приносящим счастье)	
pōyī́ǰ	poyij												пастух, пастушка		(= mōl-pōyī́ǰ)
pōyíz	poyiz												поезд		ж.
pōytā́xc	poytaxc												подарок хозяина гостю	wírd-um pōytāxc ðōd я поднес ему как гостю подарок	
pōytāxcí	poytaxci												поднесение подарка хозяином гостю	mund nist yi čīz-aθ wird pōytōxcí у меня ничего нет, чтобы поднести ему как гостю подарок	
